category,sku,ean,price,primary_image_url,currency,link,time,title,availability,desc
Home,sku:260042,ean:5707055035937,"SG$117,.99",http://i1.expansys.com/img/b/260042/jabra-rox-wireless.jpg,SGD,http://www.expansys.com.sg/jabra-rox-wireless-white-260042/,11:15:03.431000,Jabra ROX Wireless ,,
"Home,Mobile Phones,Phone Accessories,Headsets & Headphones – Wired",sku:257623,ean:7311271449393,"SG$53,.99",http://i1.expansys.com/img/b/257623/sony-digital-noise-cancelling-headset.jpg,SGD,http://www.expansys.com.sg/sony-digital-noise-cancelling-headset-white-eu-257623/,11:15:03.493000,Sony Digital Noise Cancelling Headset MDR-NC31EM ,,
Home,sku:254614,,"SG$49,.05",http://i1.expansys.com/img/b/254614/eops-noisezero-ix-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/eops-noisezero-ix-in-ear-headphones-green-brown-smartphone-254614/,11:15:03.678000,EOps Noisezero iX In-Ear Headphones ,,
Home,sku:254613,,"SG$49,.05",http://i1.expansys.com/img/b/254613/eops-noisezero-ix-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/eops-noisezero-ix-in-ear-headphones-blue-smartphone-254613/,11:15:03.732000,EOps Noisezero iX In-Ear Headphones ,,
Home,sku:254612,,"SG$72,.75",http://i1.expansys.com/img/b/254612/eops-noisezero-x2-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/eops-noisezero-x2-in-ear-headphones-pink-white-smartphone-254612/,11:15:03.778000,EOps Noisezero X2+ In-Ear Headphones ,,
Home,sku:254610,,"SG$72,.75",http://i1.expansys.com/img/b/254610/eops-noisezero-x2-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/eops-noisezero-x2-in-ear-headphones-blue-magenta-for-iphone-ipad-254610/,11:15:03.816000,EOps Noisezero X2+ In-Ear Headphones ,,
"Home,Mobile Phones,SIM Free Phones,iOS",sku:282848,,"SG$1,159,.99",http://i2.expansys.com/img/b/282848/apple-iphone-6s-plus.jpg,SGD,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-16gb-gold-282848/,11:15:03.894000,Apple iPhone 6s Plus A1687 ,,
"Home,Mobile Phones,SIM Free Phones,iOS",sku:282802,,"SG$1,324,.99",http://i1.expansys.com/img/b/282802/apple-iphone-6s.jpg,SGD,http://www.expansys.com.sg/apple-iphone-6s-unlocked-128gb-silver-282802/,11:15:04.148000,Apple iPhone 6s A1688 ,,
"Home,Mobile Phones,SIM Free Phones,iOS",sku:282801,,"SG$1,184,.99",http://i1.expansys.com/img/b/282801/apple-iphone-6s.jpg,SGD,http://www.expansys.com.sg/apple-iphone-6s-unlocked-64gb-silver-282801/,11:15:04.195000,Apple iPhone 6s A1688 ,,
"Home,Mobile Phones,SIM Free Phones,iOS",sku:282806,,"SG$1,324,.99",http://i2.expansys.com/img/b/282806/apple-iphone-6s.jpg,SGD,http://www.expansys.com.sg/apple-iphone-6s-unlocked-128gb-gold-282806/,11:15:04.249000,Apple iPhone 6s A1688 ,,
Home,sku:254607,,"SG$109,.22",http://i2.expansys.com/img/b/254607/eops-noisezero-ixi-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/eops-noisezero-ixi-in-ear-headphones-wang-chau-industry-special-smartphone-254607/,11:15:04.333000,EOps Noisezero iXi In-Ear Headphones ,,
Home,sku:254609,,"SG$142,.22",http://i2.expansys.com/img/b/254609/eops-noisezero-sport-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/eops-noisezero-sport-in-ear-headphones-red-smartphone-254609/,11:15:04.433000,EOps Noisezero Sport+ In-Ear Headphones ,,
"Home,Mobile Phones,SIM Free Phones,iOS",sku:282800,,"SG$974,.99",http://i1.expansys.com/img/b/282800/apple-iphone-6s.jpg,SGD,http://www.expansys.com.sg/apple-iphone-6s-unlocked-16gb-silver-282800/,11:15:04.480000,Apple iPhone 6s A1688 ,,
"Home,Mobile Phones,SIM Free Phones,iOS",sku:282798,ean:888462563017,"SG$1,184,.99",http://i2.expansys.com/img/b/282798/apple-iphone-6s.jpg,SGD,http://www.expansys.com.sg/apple-iphone-6s-unlocked-64gb-space-gray-282798/,11:15:04.549000,Apple iPhone 6s A1688 ,,
Home,sku:254608,,"SG$142,.22",http://i2.expansys.com/img/b/254608/eops-noisezero-sport-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/eops-noisezero-sport-in-ear-headphones-black-smartphone-254608/,11:15:04.596000,EOps Noisezero Sport+ In-Ear Headphones ,,
Home,sku:274410,,SG$52,http://i1.expansys.com/img/b/274410/i-tech-myvoice-3001.jpg,,http://www.expansys.com.sg/i-tech-myvoice-3001-black-274410/,11:15:04.649000,i.Tech MyVoice 3001 Bluetooth Headset ,,
Home,sku:273068,,SG$46,http://i2.expansys.com/img/b/273068/i-tech-myvoice-312-music-edition.jpg,,http://www.expansys.com.sg/i-tech-myvoice-312-music-edition-light-blue-chrome-273068/,11:15:04.750000,i.Tech MyVoice 312 Music Edition Bluetooth Headset ,,
Home,sku:273067,,SG$46,http://i2.expansys.com/img/b/273067/i-tech-myvoice-312-music-edition.jpg,,http://www.expansys.com.sg/i-tech-myvoice-312-music-edition-dark-chrome-273067/,11:15:04.819000,i.Tech MyVoice 312 Music Edition Bluetooth Headset ,,
Home,sku:273066,,SG$31,http://i2.expansys.com/img/b/273066/i-tech-myvoice-306m.jpg,,http://www.expansys.com.sg/i-tech-myvoice-306m-white-273066/,11:15:04.897000,i.Tech MyVoice 306M Bluetooth Headset ,,
Home,sku:270071,,SG$50,http://i1.expansys.com/img/b/270071/i-tech-myvoice-313-music-edition.jpg,,http://www.expansys.com.sg/i-tech-myvoice-313-music-edition-silver-270071/,11:15:04.935000,i.Tech MyVoice 313 Music Edition Bluetooth Headset ,,
Home,sku:270070,,SG$50,http://i1.expansys.com/img/b/270070/i-tech-myvoice-313-music-edition.jpg,,http://www.expansys.com.sg/i-tech-myvoice-313-music-edition-black-270070/,11:15:04.981000,i.Tech MyVoice 313 Music Edition Bluetooth Headset ,,
Home,sku:274409,,SG$52,http://i2.expansys.com/img/b/274409/i-tech-myvoice-3000.jpg,,http://www.expansys.com.sg/i-tech-myvoice-3000-black-274409/,11:15:05.019000,i.Tech MyVoice 3000 Bluetooth Headset ,,
Home,sku:263661,ean:017817650823,"SG$54,.99",http://i1.expansys.com/img/b/263661/bose-soundlink-mini-bluetooth-speaker-soft-cover.jpg,SGD,http://www.expansys.com.sg/bose-soundlink-mini-bluetooth-speaker-soft-cover-grey-263661/,11:15:05.082000,Bose SoundLink Mini II/Mini Soft Cover ,,
Home,sku:263124,ean:020356621308,"SG$23,.99",http://i1.expansys.com/img/b/263124/tdk-st260s-on-ear-headphones-w-mic-track-control.jpg,SGD,http://www.expansys.com.sg/tdk-st260s-on-ear-headphones-w-mic-track-control-blue-263124/,11:15:05.166000,TDK ST260s On-Ear Headphones w/Mic & Track Control ,,
Home,sku:263118,ean:020356621193,"SG$100,.99",http://i2.expansys.com/img/b/263118/tdk-wr780-on-ear-bluetooth-headphones.jpg,SGD,http://www.expansys.com.sg/tdk-wr780-on-ear-bluetooth-headphones-silver-black-263118/,11:15:05.235000,TDK WR780 On-Ear Bluetooth Headphones ,,
Home,sku:269445,ean:020356621247,"SG$11,.99",http://i2.expansys.com/img/b/269445/tdk-eb120tp-headphones-with-travel-pack.jpg,SGD,http://www.expansys.com.sg/tdk-eb120tp-headphones-with-travel-pack-269445/,11:15:05.320000,TDK EB120TP Headphones with Travel Pack,,
"Home,Mobile Phones,Phone Accessories,Headsets & Headphones – Wired",sku:263021,ean:020356621223,"SG$50,.76",http://i1.expansys.com/img/b/263021/tdk-st560s-smartphone-headphones.jpg,SGD,http://www.expansys.com.sg/tdk-st560s-smartphone-headphones-for-ios-android-white-263021/,11:15:05.382000,TDK ST560s Smartphone Headphones ,,
"Home,Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth",sku:262737,ean:6945764506730,"SG$78,.99",http://i2.expansys.com/img/b/262737/mipow-btv700-vox-tub-mono-bt-headset-usb-type.jpg,SGD,http://www.expansys.com.sg/mipow-btv700-vox-tub-mono-bt-headset-usb-type-black-262737/,11:15:05.436000,MiPOW VoxTube 700 Bluetooth Mono headset USB Type ,,
Home,sku:254605,,"SG$90,.98",http://i2.expansys.com/img/b/254605/eops-noisezero-ixi-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/eops-noisezero-ixi-in-ear-headphones-red-smartphone-254605/,11:15:05.698000,EOps Noisezero iXi In-Ear Headphones ,,
Home,sku:283211,,"SG$604,.99",http://i1.expansys.com/img/b/283211/monster-diamondz-on-ear-headphones.jpg,SGD,http://www.expansys.com.sg/monster-diamondz-on-ear-headphones-rose-gold-283211/,11:15:05.820000,Monster DiamondZ On-Ear Headphones ,,
"Home,Electronics,Headphones & Earbuds",sku:254496,ean:8712581693817,"SG$492,.11",http://i2.expansys.com/img/b/254496/philips-fidelio-m1-bluetooth-headphones.jpg,SGD,http://www.expansys.com.sg/philips-fidelio-m1-bluetooth-headphones-254496/,11:15:05.852000,Philips Fidelio M1BT Bluetooth Headphones,,
Home,sku:280665,ean:017817652490,"SG$484,.99",http://i2.expansys.com/img/b/280665/bose-quietcomfort-25-headphones.jpg,SGD,http://www.expansys.com.sg/bose-quietcomfort-25-headphones-pearl-for-ios-280665/,11:15:05.883000,Bose QuietComfort 25 Noise Cancelling Headphones ,,
Home,sku:263126,ean:020356621292,"SG$23,.99",http://i2.expansys.com/img/b/263126/tdk-st260s-on-ear-headphones-w-mic-track-control.jpg,SGD,http://www.expansys.com.sg/tdk-st260s-on-ear-headphones-w-mic-track-control-red-263126/,11:15:06.099000,TDK ST260s On-Ear Headphones w/Mic & Track Control ,,
